id;year;type;accidentType;firstAddress;secondAddress;geometry;reason;area;creationDate;daniosMateriales;falloMecanico;estadoPavimento;tipoEstadoPavimento;estadoAtmosfera;tipoEstadoAtmosfera;afectado;vehiculo
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12145";"2014";"COLISIÓN ALCANCE";"";"ECHEGARAY Y CABALLERO";"MATUTE HERVIAS,JULIAN";"-0.8593239531218387,41.650740541708075";"PERDIDA del control por FALTA de ATENCIÓN";"2605";2014-10-27T00:00:00Z;"true";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44463"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12146";"2014";"COLIS FRONTOLATERAL";"";"CABALDOS, CAMINO DE";"CASTELAR, EMILIO";"-0.868891092151338,41.638807389014836";"INVADIR otro carril en el mismo sentido de circulación";"2591";2014-10-25T00:00:00Z;"true";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44464"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12147";"2014";"ATROPELLO";"";"ALMOZARA, AV. DE LA";"PUERTA DE SANCHO, AV.";"-0.9008107424460443,41.66374540604866";"PEATÓN cruza calz CON PREFER. en PASO  CON semáforo";"2610";2014-10-29T00:00:00Z;"false";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/15164";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44465"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12148";"2014";"COLIS. MARCHA ATRÁS";"";"OLIVAN, ALEJANDRO";"BOSQUED, JOSE (MOSEN)";"-0.9211220937948997,41.64886535549928";"MARCHA ATRÁS";"2594";2014-10-24T00:00:00Z;"true";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44466"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12149";"2014";"COLIS. MARCHA ATRÁS";"";"ARRUPE, PADRE";"VAZQUEZ DE MELLA";"-0.9026681648170423,41.63265453864093";"MARCHA ATRÁS";"2596";2014-10-20T00:00:00Z;"true";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44467https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44468"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12150";"2014";"COLIS FRONTOLATERAL";"";"RUIZ PICASSO, PABLO";"ZAMBRANO, M. (POETA)";"-0.8893162332922886,41.67281318904247";"OTRAS CAUSAS";"2640";2014-10-29T00:00:00Z;"false";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/15165https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/15166";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44469https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44470"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12151";"2014";"ATROPELLO";"";"CAMPOAMOR, CLARA";"";"-0.8890866503471749,41.66895757951277";"PEATÓN cruza calz CON PREFER. en PASO  SIN semáforo";"2600";2014-10-29T00:00:00Z;"false";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/15167https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/15168";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44471"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12152";"2014";"SALIDA CALZADA";"";"CASCAJO, CN. DEL  SJN";"";"-0.8439506345833918,41.71496486522088";"PERDIDA del control por FALTA de ATENCIÓN";"";2014-10-29T00:00:00Z;"false";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/15169";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44472"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12153";"2014";"SALIDA CALZADA";"";"EDISON, TOMAS A";"";"-0.8665477541801948,41.67007665525934";"PERDIDA del control por FALTA de ATENCIÓN";"";2014-10-29T00:00:00Z;"true";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44473"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12154";"2014";"COLISIÓN ALCANCE";"";"CUELLAR, PASEO DE";"";"-0.8848493117953854,41.63484525009101";"PERDIDA del control por FALTA de ATENCIÓN";"2604";2014-10-28T00:00:00Z;"true";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44474https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44475"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12155";"2014";"COLISIÓN LATERAL";"";"HISPANIDAD, VIA";"GOMEZ LAGUNA(ALCALDE)";"-0.9147014503640727,41.64060309287472";"INVADIR otro carril en el mismo sentido de circulación";"2624";2014-10-29T00:00:00Z;"true";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44476"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12156";"2014";"COLISIÓN ALCANCE";"";"PLAN, IBON DE";"AEROPUERTO, CARRETERA";"-0.9388159722509236,41.66210291413718";"DISTANCIA DE SEGURIDAD, no mantener";"2611";2014-10-27T00:00:00Z;"true";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44477https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44478"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/12157";"2014";"SALIDA CALZADA";"";"FANLO";"";"-0.9157439755527074,41.63348367532985";"PERDIDA del control por FALTA de ATENCIÓN";"2631";2014-10-27T00:00:00Z;"true";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/44479"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9572";"2013";"SALIDA CALZADA";"";"AZNAR,ADOLFO(CINEASTA";"BELTRAN,J.M.(CINEASTA";"-0.8869959298557372,41.67593597602368";"PERDIDA del control por FALTA de ATENCIÓN";"4438";2013-12-02T00:00:00Z;"true";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18937"
"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9573";"2013";"SALIDA CALZADA";"";"ALLENDE, SALVADOR AV.";"";"-0.876909940066992,41.672106692157605";"PERDIDA del control por FALTA de ATENCIÓN";"4684";2013-12-05T00:00:00Z;"true";"false";"BUEN ESTADO";"";"BUEN ESTADO";"";"";"https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18938"
